Age,Income,Credit_Score,Loan_Amount,Approved
40,109861.53,777.31,2690.24,1
23,61414.92,849.56,9180.66,1
45,74891.56,414.05,11986.78,0
34,71938.6,775.11,8516.95,1
26,40383.61,760.91,15056.24,1
29,87629.55,356.52,34449.19,0
64,35083.9,791.9,49540.44,1
20,65698.05,587.07,20058.77,0
51,71270.64,600.28,45432.72,1
35,50141.87,409.29,13230.25,0
48,59737.36,461.45,31334.07,0
62,110538.55,554.05,28851.55,0
42,117127.56,633.16,32688.45,1
37,32475.1,337.2,15629.08,0
34,34042.95,383.78,13577.7,0
35,46845.87,674.38,28843.81,1
64,80431.17,313.26,41480.37,0
33,72619.34,366.42,21069.96,0
54,35733.47,678.71,12561.6,1
25,48474.21,420.44,31542.09,0
30,35790.56,737.47,5678.56,1
44,96791.39,347.74,47893.43,0
63,95110.38,458.9,38674.73,0
31,70440.62,820.67,36771.61,1
35,31693.48,657.55,8609.88,1
21,58444.52,834.15,41188.05,1
60,25159.22,664.01,26992.51,0
33,116839.14,847.16,21835.63,1
65,88843.87,497.97,28642.09,0
22,66468.81,309.62,22616.15,0
36,75471.28,473.75,22569.45,0
60,96935.73,490.66,30123.7,0
20,107920.51,724.52,28713.3,1
20,96682.73,735.97,2362.8,1
39,117689.4,788.6,31981.93,1
54,54957.56,391.14,21072.47,0
24,119243.34,457.72,2476.35,0
34,103807.16,634.94,22034.33,1
40,55140.65,442.26,47639.53,0
55,98382.98,580.31,13121.81,0
27,20869.88,518.11,32639.38,0
27,22707.96,737.68,8294.15,0
64,89554.37,812.19,10382.59,1
51,75066.54,647.72,11657.32,1
61,117895.92,350.84,45740.1,0
54,60543.97,788.96,27750.07,1
50,32555.43,624.01,13918.36,1
50,45840.82,517.51,19215.24,0
31,78139.08,718.92,36238.41,1
28,118758.84,585.35,30857.1,0
26,106586.65,791.85,1223.73,1
37,90710.83,530.68,16967.31,0
29,60068.2,600.02,12612.13,1
23,23256.25,525.47,35763.37,0
25,45154.18,515.66,27330.47,0
56,49290.38,645.13,10909.06,1
63,54092.14,399.03,20072.88,0
34,81020.87,508.47,27657.03,0
51,86586.75,337.9,34306.45,0
35,62903.34,356.8,14966.27,0
31,76225.56,333.48,45949.41,0
19,81221.67,477.76,31291.82,0
22,105536.86,433.55,37464.94,0
59,115465.11,608.4,19387.3,1
39,86680.59,808.5,17893.12,1
44,32182.83,806.25,12549.66,1
28,94684.93,433.53,44424.59,0
32,48457.02,509.24,41273.62,0
34,116790.34,425.15,14586.41,0
60,89887.18,635.47,20971.56,1
46,61600.58,308.65,33131.75,0
35,32766.11,574.54,17370.89,0
57,110576.53,585.57,35933.15,0
28,98370.42,620.15,12119.54,1
43,98860.61,534.38,49647.97,0
56,66661.9,566.56,28108.34,0
35,101840.08,561.63,20849.91,0
24,71353.03,842.2,11905.55,1
35,42680.97,761.49,3539.43,1
34,91133.24,713.4,34191.5,1
40,92491.33,710.54,42769.62,1
63,71505.76,602.56,18878.55,1
32,61387.12,712.47,10686.76,1
27,78848.63,729.6,26257.29,1
39,82162.59,412.69,13768.67,0
65,36426.62,558.58,19783.22,0
65,34438.22,445.01,3622.02,0
36,102737.6,447.9,6706.97,0
64,23594.06,356.57,8851.95,0
28,73911.59,614.72,27286.26,1
26,101568.8,403.19,31959.77,0
50,58763.46,683.74,20396.51,1
55,109136.15,411.89,49835.46,0
61,76032.13,544.18,32969.8,0
18,35190.43,587.68,19495.25,0
65,116851.74,363.07,23648.94,0
39,51705.39,597.89,46368.71,0
18,42380.29,765.1,36323.68,1
50,20881.83,372.55,17016.6,0
60,36658.33,352.13,8736.14,0
65,35275.06,606.39,18656.17,1
27,110736.8,731.28,15902.56,1
43,113761.84,782.03,36284.79,1
37,42713.67,497.03,17656.17,0
22,21662.24,367.08,35573.08,0
47,75243.52,683.76,35600.87,1
50,47320.21,453.36,48864.91,0
53,87487.03,394.92,42831.92,0
37,38172.6,463.29,29840.07,0
55,43742.61,530.56,9934.15,0
24,98219.33,537.56,33540.86,0
42,102789.27,665.19,1337.51,1
41,111316.32,523.42,28511.84,0
55,45346.57,536.38,33538.87,0
25,81251.03,345.92,37223.06,0
34,116722.07,597.66,41487.1,0
24,56353.3,659.8,16923.02,1
32,29507.67,487.02,15264.62,0
47,69146.66,638.39,5264.71,1
45,66726.83,326.37,10005.72,0
18,29826.33,559.02,17329.63,0
24,51885.69,377.21,32014.02,0
60,21735.86,690.04,9514.93,0
23,80600.26,661.07,25622.44,1
62,52431.83,315.29,20516.65,0
44,56175.06,312.85,5034.44,0
24,114846.22,444.59,6084.45,0
57,52716.48,520.62,13505.95,0
49,97796.45,580.96,3732.15,0
58,82490.19,330.93,26495.82,0
51,20116.08,670.72,15655.53,0
42,114085.16,387.17,39053.44,0
29,55908.42,340.59,29791.45,0
35,20980.05,815.09,27881.03,0
36,89523.45,782.07,24410.67,1
22,105363.95,847.46,22192.54,1
18,68370.33,655.84,48367.66,1
24,33765.72,660.94,1599.79,1
56,63752.53,829.26,41057.74,1
21,62317.95,372.18,13861.01,0
65,33600.7,715.18,29111.19,1
64,43944.31,637.32,13876.78,1
41,94286.42,749.4,47013.51,1
31,99195.29,593.48,43577.68,0
55,39157.69,377.69,22069.81,0
41,47062.19,592.97,13218.9,0
20,52035.2,727.89,20405.56,1
60,58022.15,606.58,21847.94,1
28,111819.72,605.97,20731.59,1
55,60787.44,819.46,11563.47,1
32,62095.25,840.02,24720.03,1
52,78687.21,642.22,35462.49,1
24,93495.49,434.51,35811.01,0
37,80224.97,528.91,8904.06,0
27,49299.28,704.41,10532.53,1
44,81931.04,668.3,21499.43,1
34,42096.7,487.17,27571.76,0
40,72754.0,409.02,12592.12,0
59,23394.57,380.67,38376.43,0
20,42327.51,464.58,16353.96,0
22,66733.13,488.41,37928.22,0
56,45185.62,825.07,8842.59,1
25,114937.72,716.52,6432.57,1
21,21950.69,693.24,35759.11,0
41,55308.51,744.43,35275.36,1
22,57122.81,405.01,47236.54,0
33,119039.7,530.64,22527.95,0
32,82468.39,374.44,17916.32,0
38,48617.2,607.64,49307.85,1
34,21418.33,445.16,3724.99,0
44,47854.76,647.75,43556.56,1
23,47129.1,553.8,28963.64,0
28,66728.62,688.0,40902.7,1
58,81682.58,379.74,20352.26,0
37,102554.2,423.82,26478.87,0
18,46851.2,471.51,5598.9,0
21,21960.55,800.12,30329.36,0
31,48996.77,824.18,4133.14,1
47,38040.05,610.53,11081.43,1
63,66645.76,320.29,7282.41,0
26,34972.15,527.81,46919.02,0
64,92658.37,829.51,28616.78,1
24,113222.56,777.18,32770.33,1
39,26505.57,434.39,40528.15,0
20,91933.25,757.14,48898.83,1
27,27329.83,308.42,15876.47,0
56,65404.59,800.03,47150.98,1
28,65740.92,575.18,11780.0,0
20,91071.29,576.49,6343.47,0
19,78135.64,609.01,8652.84,1
24,113657.05,706.89,46338.95,1
56,34377.52,442.9,9703.63,0
25,29222.92,840.54,22709.97,0
65,82353.07,712.45,9122.7,1
63,105370.17,440.66,11661.72,0
54,38764.47,527.11,10149.61,0
32,55637.05,317.02,6048.89,0
60,77824.64,650.57,40315.09,1
42,103006.62,602.48,13798.81,1
47,101940.29,749.86,28924.64,1
53,112469.24,839.57,36329.15,1
41,99333.92,691.71,8752.67,1
39,47459.54,737.64,40165.62,1
31,76601.56,820.41,45388.68,1
31,98401.93,467.96,49318.76,0
50,89683.68,841.78,47563.53,1
28,35040.84,392.54,42495.54,0
58,112727.7,814.46,9189.8,1
46,89471.7,465.43,38231.01,0
26,84831.18,684.37,38316.16,1
24,74553.43,470.07,31691.35,0
56,52699.49,422.1,16868.28,0
18,55584.96,705.37,30105.47,1
55,46482.46,528.38,37426.17,0
50,40153.08,331.74,26092.33,0
59,59243.7,635.89,4852.37,1
35,74694.46,353.39,44361.35,0
43,99196.6,808.48,7668.14,1
22,92412.14,647.28,5800.92,1
59,52407.59,508.47,26978.46,0
20,117428.25,420.68,3274.98,0
64,116681.08,780.75,47848.62,1
19,39760.67,550.26,16195.18,0
49,50361.37,500.05,33695.56,0
46,65750.83,372.26,25490.58,0
34,83475.2,590.41,1555.75,0
34,82546.61,625.01,3510.84,1
29,27175.7,417.97,12833.3,0
57,115913.87,657.64,33727.84,1
44,21776.06,847.98,29716.0,0
52,46436.77,673.9,14496.17,1
34,79023.63,491.11,29110.56,0
51,49638.2,604.73,5483.77,1
29,53512.95,832.71,37701.12,1
31,119886.42,539.11,48955.68,0
61,40260.42,519.34,43690.48,0
36,24821.55,799.96,15470.7,0
58,32815.67,349.47,10918.74,0
49,54637.85,771.0,33686.08,1
65,69728.75,398.96,41745.64,0
59,96927.92,325.91,35216.6,0
49,58939.13,607.98,15395.75,1
63,86340.89,383.19,32682.21,0
27,119775.45,689.0,3485.32,1
32,90095.75,310.06,36206.24,0
22,72357.81,816.03,1327.25,1
32,47985.83,589.77,13199.69,0
37,25822.31,796.99,21207.52,0
26,100135.55,689.34,26661.71,1
34,72029.71,849.73,30764.06,1
34,20497.18,684.91,33789.31,0
42,117801.89,565.3,32857.47,0
43,61261.99,745.98,33304.07,1
53,90860.25,468.64,20724.08,0
54,47459.78,353.61,20136.55,0
23,78097.99,820.03,45584.99,1
64,20147.37,824.39,11703.07,0
24,38646.48,815.89,9176.91,1
21,92705.42,812.96,8937.47,1
49,26298.79,316.08,26342.18,0
37,26511.77,397.32,18477.73,0
32,30119.08,806.12,24203.88,1
52,66896.63,332.21,5095.05,0
48,39425.48,539.39,31646.24,0
48,74808.52,762.01,46911.02,1
36,54118.88,461.46,24706.35,0
48,70641.87,763.73,14648.5,1
63,78895.86,513.45,31147.07,0
52,24145.76,560.28,45714.79,0
48,26053.63,376.01,42400.05,0
36,21535.57,795.79,25581.76,0
25,49869.04,784.93,15945.71,1
23,87726.81,332.24,13095.66,0
31,51262.12,764.01,36351.26,1
27,54218.88,717.69,37979.13,1
46,81464.8,615.47,29614.62,1
33,85013.14,848.95,10584.76,1
43,50645.18,783.2,31695.92,1
38,70633.23,510.9,25869.12,0
18,75288.27,345.08,19903.33,0
35,59706.36,756.12,30088.21,1
51,34629.92,794.59,30810.96,1
52,53008.95,470.4,20493.32,0
53,106095.66,669.99,14987.48,1
22,85828.54,356.49,13100.02,0
49,53692.44,351.23,16096.88,0
45,113393.94,699.54,41443.35,1
61,90527.44,493.48,28529.17,0
46,49566.79,711.95,8898.6,1
18,102561.21,619.94,42058.44,1
48,86546.34,672.36,37999.06,1
18,91733.5,494.03,46032.7,0
55,89307.28,495.05,28539.66,0
36,22070.48,753.7,18407.89,0
62,58687.74,770.44,27461.61,1
41,31883.2,690.61,36715.77,1
36,78297.17,493.17,43616.85,0
55,101704.13,784.11,27491.45,1
43,21114.91,393.62,13457.87,0
65,29460.4,684.46,3900.73,0
31,41782.39,736.99,15139.84,1
20,32851.18,690.59,11606.66,1
58,111394.76,685.0,37854.63,1
41,80416.1,735.0,36881.43,1
21,74878.4,607.31,25074.15,1
30,49721.87,615.3,36256.69,1
19,49761.21,685.46,22540.9,1
58,89915.94,337.3,42114.1,0
57,97843.16,739.84,13211.77,1
54,84196.75,745.97,18842.22,1
36,56242.61,403.1,37353.74,0
37,113017.63,489.9,30239.86,0
51,96690.37,702.93,41817.83,1
56,100410.21,329.46,30610.91,0
43,59739.85,601.37,8030.16,1
58,76541.25,453.64,11985.5,0
22,21000.91,845.39,37669.76,0
34,34813.41,519.52,2415.76,0
56,82432.81,532.96,12907.8,0
37,70686.73,710.18,44038.01,1
29,28895.88,727.09,37948.19,0
46,42433.41,595.07,33558.48,0
20,60983.29,656.34,28891.08,1
35,97782.07,535.65,35910.72,0
36,100524.82,643.72,36099.7,1
18,47530.29,752.36,44269.85,1
58,62611.89,847.63,34388.29,1
62,103778.75,804.36,11385.46,1
40,31407.26,634.02,21720.28,1
43,118399.77,515.69,11071.59,0
65,75028.93,828.45,28944.2,1
24,30736.22,776.01,5615.4,1
46,39480.1,801.86,14283.2,1
36,43320.29,732.13,26792.81,1
33,22499.56,731.84,45003.21,0
65,72928.21,806.01,27700.51,1
62,37164.68,642.49,26140.93,1
28,26705.86,540.84,8226.64,0
22,87806.71,694.42,29809.78,1
50,104030.66,347.99,38959.81,0
39,119735.5,665.83,18261.02,1
44,87197.36,722.96,27617.79,1
24,79605.2,808.69,31623.14,1
22,34757.5,836.84,12207.49,1
57,39788.94,512.12,41661.15,0
25,89385.57,462.82,17638.87,0
35,59022.27,309.21,23469.03,0
31,113971.97,815.43,28978.15,1
22,74181.75,642.1,16632.3,1
30,92332.9,627.24,47764.73,1
29,49311.72,352.36,3469.03,0
48,51557.89,568.65,20730.79,0
18,118008.05,632.1,8065.24,1
18,96784.25,843.98,14831.58,1
40,31162.9,693.78,18907.01,1
29,112639.51,561.64,14987.1,0
53,64892.21,786.42,19298.62,1
45,58515.44,475.1,38437.49,0
60,86929.86,672.62,21225.12,1
44,46685.15,829.49,29506.75,1
49,97127.01,754.41,27818.54,1
49,91393.44,806.27,5590.25,1
57,62779.03,330.32,10849.97,0
23,89329.52,691.46,15612.19,1
31,20864.23,630.35,48801.02,0
32,116480.67,319.59,46618.65,0
56,38830.2,329.67,38770.78,0
56,110699.19,529.09,28081.79,0
50,113755.38,530.2,31328.41,0
22,58884.15,653.72,13739.18,1
46,33546.65,696.81,40446.46,1
24,53269.26,361.0,38631.92,0
30,99109.28,498.75,45677.37,0
65,92075.08,598.54,38437.84,0
40,32234.99,375.0,27411.09,0
31,48518.14,428.81,4694.52,0
58,93468.99,690.0,47220.36,1
43,60171.13,464.82,9341.36,0
37,21815.85,502.35,17395.38,0
64,71993.09,453.54,18806.13,0
26,115360.79,513.23,37722.88,0
21,80485.17,462.95,2136.02,0
38,96825.11,531.2,38459.48,0
51,78606.68,669.55,9618.11,1
40,20274.18,571.56,40258.27,0
19,69018.46,533.32,23153.53,0
63,49782.47,517.57,38157.97,0
65,70504.63,764.72,20412.88,1
43,34033.32,383.9,42301.46,0
44,95812.38,472.51,10576.58,0
33,84052.84,750.41,42020.26,1
37,32024.61,415.17,15531.63,0
37,89064.43,625.97,18019.73,1
63,31601.05,339.28,26388.37,0
28,85092.3,458.08,40500.43,0
47,113445.02,654.83,12475.89,1
21,116071.69,441.84,21766.84,0
18,32399.05,628.37,3361.93,1
21,24372.8,549.06,20024.98,0
47,45511.66,602.42,6008.66,1
37,43865.67,784.39,36109.18,1
48,111037.67,817.84,20497.11,1
37,97518.49,413.17,31783.07,0
34,47580.47,376.19,27542.44,0
19,29581.24,683.92,48486.04,0
58,42310.55,598.5,34450.36,0
20,24838.67,533.83,7131.34,0
54,95283.11,540.21,9106.11,0
43,85820.66,476.16,46446.44,0
30,108355.07,332.09,21199.37,0
49,96033.68,568.73,10526.07,0
41,106187.27,544.39,37697.07,0
56,42424.72,716.71,19639.52,1
41,58503.46,483.46,17698.34,0
29,100637.91,631.22,9886.6,1
35,88699.43,642.35,27908.2,1
30,68473.08,411.95,48684.26,0
42,57515.18,799.15,35117.13,1
45,59331.49,650.3,40434.64,1
63,114433.47,707.07,45758.25,1
58,50476.57,840.17,20742.05,1
56,72559.73,317.43,12259.51,0
45,42698.35,665.9,5361.56,1
37,56264.48,341.16,20806.88,0
24,28841.29,774.41,49544.64,0
54,63772.23,578.62,37170.38,0
38,49570.42,682.5,35561.82,1
41,66969.03,802.59,29144.92,1
65,38244.89,424.8,17895.56,0
21,22437.67,604.83,43054.16,0
64,109412.84,704.58,6252.1,1
19,84085.73,596.32,26148.86,0
20,64220.04,329.77,40800.4,0
46,76714.16,553.5,49873.9,0
38,32797.21,337.08,5006.51,0
25,113236.44,311.27,17541.1,0
26,74421.47,361.05,47847.12,0
32,23092.34,842.15,44948.29,0
25,41625.11,334.88,37382.86,0
19,59551.72,538.86,5148.41,0
39,47478.73,570.17,33080.08,0
44,80667.99,715.57,41432.95,1
55,51122.55,561.94,21596.77,0
64,60469.39,346.85,4521.09,0
32,83056.9,754.16,9621.74,1
50,87734.93,696.74,47815.54,1
58,87195.02,730.11,48010.11,1
62,47027.74,784.27,1325.39,1
54,118751.7,388.15,48801.38,0
32,32380.99,838.86,44027.71,1
30,100034.53,472.53,25485.27,0
47,101864.02,677.7,29254.56,1
24,59497.86,336.44,21031.08,0
34,100877.02,376.66,43913.92,0
40,57630.75,395.77,23447.54,0
21,103640.37,445.01,32609.37,0
22,26096.54,804.56,39354.09,0
38,59510.71,748.01,22820.53,1
28,76234.27,468.68,45625.4,0
24,49728.46,712.4,36416.8,1
25,30913.66,651.03,29779.25,1
24,65251.6,753.75,24300.52,1
18,115573.39,422.27,37736.29,0
31,92673.85,332.69,26831.63,0
57,118300.36,615.7,1286.51,1
54,113281.55,523.8,38179.42,0
40,47534.6,513.59,10367.25,0
48,73831.0,419.67,9376.06,0
40,83231.23,544.36,6010.4,0
33,74447.61,678.45,12895.06,1
29,28999.88,630.84,26799.0,0
56,82379.4,741.51,36091.46,1
53,32747.85,441.51,9915.02,0
38,26569.68,664.79,2529.81,0
24,113814.77,679.59,4385.7,1
38,30478.52,682.63,33585.96,1
51,82969.35,548.6,34653.77,0
64,110152.3,656.54,2136.42,1
31,35606.27,499.95,9491.78,0
48,31503.13,627.31,26646.43,1
53,117210.79,543.02,25295.97,0
21,31213.71,392.31,16876.44,0
44,61841.03,676.42,40579.23,1
62,89489.46,683.64,17623.06,1
49,54788.61,532.44,48155.89,0
33,41938.65,583.54,16518.02,0
54,100872.21,523.76,17209.95,0
48,90968.21,573.26,4653.57,0
52,102452.01,314.04,5719.97,0
26,117419.19,412.27,39913.34,0
61,69280.32,696.54,38594.29,1
31,100989.96,387.89,19370.91,0
21,58806.96,801.24,45888.2,1
52,58478.12,775.18,15280.13,1
42,119350.87,370.14,41201.47,0
19,113948.48,817.1,20737.15,1
65,30575.54,351.16,16277.31,0
60,74009.95,324.53,16924.46,0
35,116515.9,782.74,30563.95,1
43,25904.75,830.48,29508.65,0
39,42859.61,815.09,3096.39,1
22,79637.22,702.66,7358.15,1
46,94537.94,376.76,43239.19,0
50,59467.96,377.53,33777.2,0
57,98316.92,653.58,31720.01,1
33,114419.9,791.01,22769.5,1
47,74947.61,766.64,15141.15,1
28,48479.21,322.62,32920.45,0
48,38475.1,531.64,15139.02,0
65,89547.34,813.54,4913.91,1
33,59269.53,343.33,15600.63,0
28,65006.06,687.71,5642.7,1
20,92212.19,492.97,30109.08,0
26,74903.64,468.85,21592.48,0
60,80570.38,743.43,45563.62,1
21,32182.6,676.14,48524.67,1
44,62680.43,676.8,12816.27,1
23,108529.58,784.42,11265.54,1
33,76536.87,700.02,4573.66,1
27,39709.73,658.72,28781.1,1
23,33969.19,692.88,34028.06,1
43,105597.67,746.49,14725.01,1
29,71881.26,792.11,10889.65,1
20,46120.73,698.84,44464.2,1
62,88481.73,829.45,39534.8,1
44,52821.09,521.81,28168.78,0
25,52629.15,323.49,1572.68,0
48,52316.06,402.84,8299.09,0
18,46021.91,769.62,47688.74,1
36,108729.3,688.66,47362.14,1
43,21019.36,635.4,43465.41,0
24,108897.31,713.62,6703.37,1
52,75054.79,678.65,19527.02,1
33,46415.68,567.74,17528.63,0
36,112349.05,345.96,8590.66,0
20,30248.29,350.1,32015.07,0
30,86342.62,356.73,21987.31,0
36,32679.78,827.68,44199.83,1
53,53170.12,380.59,25112.78,0
34,53600.98,783.48,21078.75,1
60,44490.25,840.12,19912.26,1
29,28513.17,312.1,42900.25,0
42,49274.55,757.17,7842.55,1
29,20095.58,576.52,41337.84,0
27,62963.67,458.14,40756.48,0
22,117062.53,603.3,24359.48,1
51,101314.61,709.99,32188.85,1
65,21869.62,809.64,9510.25,0
25,77492.94,670.45,42568.75,1
48,89080.89,777.08,17888.9,1
57,116977.16,813.78,17307.05,1
56,115659.99,400.66,36641.03,0
61,36683.14,832.0,42748.37,1
53,52507.06,518.07,23861.17,0
44,78729.57,406.66,47198.14,0
34,63462.27,659.42,7896.97,1
41,63527.22,411.58,23655.3,0
62,53289.98,740.81,45424.15,1
48,25143.07,703.96,43465.26,0
64,101177.65,303.75,40423.35,0
62,93720.17,645.56,19956.2,1
54,70038.18,711.31,13628.91,1
61,36800.12,480.11,16344.01,0
55,112728.51,569.58,2146.27,0
46,118352.37,494.95,40436.6,0
39,42185.73,690.55,7601.15,1
63,81081.0,418.42,18344.75,0
19,41245.32,337.96,33193.04,0
23,99754.73,719.93,4450.95,1
40,41410.07,832.57,27275.8,1
33,96861.81,566.51,23668.91,0
55,108631.21,667.25,26774.64,1
29,53467.32,581.56,33405.62,0
32,26781.07,698.53,42144.09,0
44,75532.3,521.15,7723.38,0
29,83989.09,606.23,13007.11,1
61,23015.48,425.81,8128.84,0
38,49978.0,674.34,5154.86,1
53,84604.7,501.17,11363.86,0
18,64700.25,491.84,2849.62,0
38,106137.97,720.76,37757.8,1
29,116956.48,506.13,23866.07,0
51,82396.12,661.59,5380.2,1
37,104678.45,310.31,25864.18,0
47,34652.88,820.17,7675.76,1
54,26266.99,585.93,17647.52,0
57,67232.84,385.23,3005.65,0
28,37771.3,486.41,39338.44,0
37,77173.78,329.12,17494.06,0
27,27675.33,783.69,5238.22,0
39,80508.24,743.6,22506.79,1
53,37492.98,697.58,38330.0,1
26,112986.49,467.67,1902.22,0
51,88850.02,541.68,28793.89,0
64,86282.09,573.27,30386.76,0
56,30624.81,665.56,31198.67,1
42,58508.18,518.18,23492.08,0
60,36193.99,633.14,19569.17,1
64,20364.64,751.36,20968.87,0
34,57007.63,735.38,19278.31,1
42,101224.78,619.24,7560.11,1
32,27265.24,806.11,21502.65,0
59,109467.24,820.86,11586.96,1
40,101167.36,384.98,12951.05,0
46,31161.66,395.5,41759.34,0
18,87254.26,356.24,7642.02,0
48,115084.02,676.29,8161.23,1
25,25503.78,640.15,46817.94,0
43,104581.44,765.16,38801.09,1
47,77458.0,431.12,34749.71,0
38,58218.53,729.42,22755.38,1
22,32564.65,624.44,17647.36,1
51,52741.87,710.97,32314.22,1
46,37276.78,442.0,6363.74,0
45,76713.24,327.21,34186.39,0
41,44935.23,367.63,11499.94,0
47,61990.12,436.45,19756.56,0
65,26415.41,452.94,24152.32,0
21,71537.32,805.96,46275.23,1
59,40980.4,451.52,35119.41,0
20,89371.22,395.92,40629.93,0
49,102048.73,643.46,33984.66,1
46,43467.46,486.74,29624.69,0
47,51501.52,820.97,9936.52,1
28,105641.33,422.65,6027.6,0
37,48088.81,463.5,26837.63,0
37,39665.27,431.78,48699.38,0
43,54175.46,620.24,21130.92,1
38,65899.69,515.35,32794.83,0
53,62899.53,705.89,30769.33,1
31,118438.22,710.54,4291.21,1
51,64314.71,440.88,25831.43,0
39,87442.05,540.56,15770.17,0
31,38949.9,647.2,49261.9,1
46,52280.51,375.7,27131.82,0
18,65135.31,645.18,5586.74,1
62,95678.6,395.73,28019.26,0
45,103631.89,817.33,44806.38,1
56,89572.05,751.56,29532.91,1
63,95176.51,455.83,45992.68,0
25,103325.92,521.68,15339.86,0
19,83433.66,766.5,24215.45,1
38,58922.92,809.01,43179.5,1
35,63481.6,746.74,29799.81,1
24,99160.12,797.31,34795.18,1
45,31582.02,692.11,3978.54,1
58,85232.06,622.76,44352.42,1
20,55019.94,768.06,28612.98,1
46,50811.73,638.32,17652.29,1
54,71034.26,368.7,22974.99,0
30,84075.82,456.07,1460.01,0
54,21971.12,665.98,27372.11,0
45,99004.18,480.95,20467.91,0
32,79052.74,441.72,35450.38,0
54,69145.05,409.24,29447.97,0
42,58059.02,390.77,26370.4,0
49,97630.54,615.04,49910.25,1
40,91645.4,603.28,41094.56,1
28,103639.68,382.73,33391.73,0
62,114093.38,780.33,25060.2,1
18,49647.67,636.06,41556.04,1
30,84991.09,440.88,39120.52,0
26,95261.45,375.34,40808.81,0
25,39061.92,623.75,3123.94,1
35,58663.72,492.82,31676.83,0
28,75490.49,544.66,34643.04,0
49,75179.46,633.07,47065.95,1
38,58158.9,339.26,24345.12,0
63,37951.24,713.87,38146.68,1
65,72912.93,666.51,28216.18,1
18,57277.26,551.27,24300.72,0
64,46808.66,659.11,26541.04,1
32,104529.0,411.08,30917.58,0
49,59622.51,688.46,7176.38,1
64,62971.1,809.58,33629.35,1
35,103011.19,684.08,39645.31,1
60,108192.14,703.8,15179.06,1
40,51139.54,386.78,35798.49,0
60,71926.72,754.59,7960.31,1
33,50644.62,434.28,47445.25,0
28,69422.5,519.83,38896.98,0
52,29172.27,416.26,16107.49,0
31,94445.78,822.43,38696.28,1
53,38112.82,822.02,15419.11,1
64,114693.62,786.25,22704.0,1
59,106447.47,359.09,40289.94,0
65,47552.28,813.41,5727.4,1
60,94919.97,730.59,9645.4,1
31,94791.07,839.25,34999.99,1
61,92730.75,711.67,48813.56,1
46,36954.81,573.05,42038.15,0
55,117587.42,599.96,5947.24,0
57,80741.76,818.28,27393.15,1
43,55990.99,847.54,31525.82,1
35,84321.08,380.75,32546.6,0
38,108995.99,340.84,27807.35,0
50,78128.76,670.33,22917.68,1
37,96938.4,525.71,45842.07,0
54,33810.51,525.42,27575.61,0
41,29241.57,621.72,46157.41,0
36,116537.15,832.0,43506.84,1
21,65530.48,406.13,8664.09,0
57,25291.18,662.05,16345.34,0
51,84312.6,561.49,48710.31,0
64,101433.11,445.01,45896.93,0
30,38052.58,743.27,15663.91,1
46,42496.5,531.8,19456.04,0
40,63985.66,423.51,8724.65,0
60,65410.62,581.83,3815.18,0
42,58528.84,619.47,1188.74,1
38,85333.23,331.13,12365.22,0
58,98542.22,457.08,31577.0,0
33,110314.38,816.88,9409.43,1
21,45988.04,620.92,23027.0,1
62,25599.28,368.04,8681.87,0
26,98399.93,545.58,42627.95,0
30,96719.45,749.04,23478.91,1
37,106861.5,333.38,5765.58,0
36,50515.87,675.75,47924.02,1
21,92349.22,406.16,20680.28,0
